speaker,word_count
(Pam's mom) Heleen,2
3rd Athlead Employee,7
4th Athlead Employee,10
A.J.,30
AJ,127
Aaron Rodgers,34
Abby,91
Actor,17
Actress,1
Ad guy 1,106
Ad guy 2,35
Air Force recruiter,20
Alan,222
Albiny,24
Alex,224
Alice,172
All,240
All Girls,1
All but Oscar,2
All the Men,4
Alonzo,3
Alyssa,4
Amanda,72
Amy,19
Andy,45667
Andy & Erin,64
Andy & Michael,9
Andy & Walter,36
Andy and Darryl,20
Andy and Dwight,30
Andy and Erin,1
Andy and Jim,29
Andy and Michael,38
"Andy, Creed, Kevin, Kelly",25
"Andy, Creed, Kevin, Kelly, Darryl",17
"Andy, Darryl & Officer Foley",14
Andy/Oscar,18
Andy/Pam,15
Andy/Stanley,9
Angel,8
Angela,14343
Angela & Oscar,5
Angela and Dwight,0
Angela and Kelly,16
Angela/Pam,1
Angels,2
Anglea,4
Announcer,49
Another guy,9
Archivist,18
Artist,3
Astrid,8
Athlead Coworker,9
Athlead Employee,120
Attendant,43
Audience,6
Aunt Shirley,75
Automated phone voice,12
Ballerinas,6
Bar Manager,146
Barbara,94
Barbara Allen,13
Bartender,63
Bass Player,9
Ben,29
Ben Franklin,197
Bert,156
Beth,27
Bill,92
Bill Cress,2
Bill Hader,1
Billy,29
Billy Merchant,177
Billy's Girlfriend,11
Blogger,19
Blogger 2,10
Blonde,35
Blood Drive Worker,48
Blood Girl,83
Boat Guy,121
Bob,157
Bob Vance,101
"Bob Vance, Vance Refrigeration",5
Bob's Secretary,13
Bookstore employee,18
Boom Box,16
Both,92
Bouncer,4
Brad,95
Brandon,140
Brenda,38
Brian,487
Broccoli Rob,172
Bruce,2
Bus driver,22
Business Student #1,49
Business Student #2,41
Business Student #3,11
Business partner,72
Businessman #1,8
Businessman #2,51
Businessman #3,13
Buyer,34
CPR Trainer,16
CPR trainer,9
Calvin,18
Camera Crew,5
CameraMan,10
Cameraman,1
Cameron,52
Captain Jack,420
Carla,97
Carla Fern,57
Carol,484
Carol Stills,3
Carrol,20
Carroll,108
Casey,147
Casey Dean,6
Cathy,376
Cece,16
Cell Phone Sales Person,21
Chad Lite,37
Chares,3
Charles,1764
Check-in guy,47
Chef,15
Chelsea,3
Chet,9
Child,13
Children,3
Chili's Employee,37
Christian,165
Christian Slater,67
Church congregation,8
Cindy,14
Clark,2337
Clay Aiken,18
Cleaning lady,1
Client,34
Co-Worker 1,3
Co-Worker 2,26
Co-Worker 3,11
Co-worker,33
Co-worker #2,4
Co-workers,7
Coffee shop worker,12
Colin,29
College Student,0
Computron,46
Concierge,48
Concierge Marie,4
Cookie Monster,44
Council,39
Cousin Mose,5
Craig,123
Credit card rep,21
Creed,4359
Crowd,12
Curtis,19
Customer,64
D,14
DJ,24
Dacvid Walalce,5
Dacvid Wallace,2
Dakota,24
Dale,3
Dan,7
Dan Gore,1
Dana,43
Dance Teacher,7
Danny,563
Darrly,5
Darry,14
Darryl,11250
Darryl & Oscar,5
Darryl and Andy,21
Darryl and Angela,1
Darryl and Katy,4
Darryl and Kevin,2
Darryl's sister,3
Daryl,417
David,3938
David Brent,101
David Wallace,1096
David Wallace's Secretary,15
David Wallcve,7
DeAgnelo,4
DeAngelo,1147
Dealer,36
Deangelo,2037
Deangelo/Michael,2
Delivery Boy,16
Delivery Woman,8
Delivery man,15
Deliveryman,12
Denagelo,2
Denise,53
Dennis,15
Deposition Reporter,85
Devon,101
Diane,127
Diane Kelly,235
Dight,1
Director,119
Doctor,73
Documentary Crew Member,44
Donna,487
Donna Muraski,21
Doug,50
Doug [church member],5
Drive Thru Customer,8
Drummer,2
DunMiff/sys,65
Dwight,82090
Dwight ,55
Dwight & Andy,2
Dwight & Nate,4
Dwight [on phone],9
Dwight and Andy,21
Dwight and Angela,2
Dwight and Erin,9
Dwight and Michael,34
Dwight and Roy,1
"Dwight, Erin, Jim & Kevin",3
"Dwight, Jim & Pam",0
"Dwight, Jim and Michael",3
Dwight.,2
Dwight:,13
DwightKSchrute,18
Ed,77
Edward R. Meow,61
Einsteins,1
Elderly Woman,5
Elizabeth,89
Ellen,12
Emergency Operator,8
Employee,17
Employees,21
Employees except Dwight,3
Entire Prince family,2
Entire office,1
Eric,235
Erin,12750
Erin and Irene,0
Erin and Kelly,4
Erin's Cell Phone,13
Ernesto,10
Esther,236
Evan,41
Everybody,53
Everyone,110
Everyone watching,1
Ex-client,118
Fake Jim,77
Fake Stanley,1
Fannie,227
Fast Food Worker,3
Female Applicant,10
Female Athlead Employee,16
Female Intern,12
Female Shareholder,1
Female church member,14
Female church member [to Michael],2
Female intern,0
Female worker,6
Financial Guy,95
